station_id,datetime,value
22,2023-08-17 19:30:11.933000,-0.7
22,2023-08-17 19:30:12.975000,-0.7
22,2023-08-17 19:45:13.779000,-0.7
22,2023-08-17 19:45:14.636000,-0.7
22,2023-08-17 20:15:10.027000,-0.51
22,2023-08-17 20:15:10.089000,-0.51
22,2023-08-17 20:30:13.055000,-0.7
22,2023-08-17 20:30:14.362000,-0.7
22,2023-08-17 20:45:10.809000,-0.57
22,2023-08-17 20:45:27.574000,-0.57
22,2023-08-17 21:15:10.535000,-0.7
22,2023-08-17 21:15:11.027000,-0.7
22,2023-08-17 21:30:28.225000,-0.7
22,2023-08-17 21:30:29.617000,-0.7
22,2023-08-17 22:15:13.977000,-0.7
22,2023-08-17 22:15:13.978000,-0.7
22,2023-08-17 23:00:10.040000,-0.7
22,2023-08-17 23:00:10.441000,-0.7
22,2023-08-17 23:15:11.605000,-0.57
22,2023-08-17 23:15:16.874000,-0.57
22,2023-08-17 23:45:15.628000,-0.7
22,2023-08-17 23:45:18.215000,-0.7
22,2023-08-18 00:00:42.306000,-0.58
22,2023-08-18 00:00:46.571000,-0.7
22,2023-08-18 00:45:12.052000,-0.7
22,2023-08-18 00:45:12.811000,-0.7
22,2023-08-18 01:00:11.840000,-0.7
22,2023-08-18 01:00:18.017000,-0.7
22,2023-08-18 01:15:10.104000,-0.7
22,2023-08-18 01:15:11.077000,-0.7
22,2023-08-18 02:15:40.510000,-0.7
22,2023-08-18 02:15:41.182000,-0.7
22,2023-08-18 02:30:12.131000,-0.69
22,2023-08-18 02:30:14.137000,-0.69
22,2023-08-18 03:15:12.424000,-0.7
22,2023-08-18 03:15:12.527000,-0.7
22,2023-08-18 03:45:15.619000,-0.7
22,2023-08-18 03:45:15.660000,-0.7
22,2023-08-18 04:00:13.281000,-0.69
22,2023-08-18 04:00:13.338000,-0.69
22,2023-08-18 04:30:19.393000,-0.7
22,2023-08-18 04:30:19.444000,-0.7
22,2023-08-18 05:00:11.585000,-0.7
22,2023-08-18 05:00:12.437000,-0.7
22,2023-08-18 05:45:10.719000,-0.7
22,2023-08-18 05:45:11.246000,-0.7
22,2023-08-18 06:00:10.012000,-0.7
22,2023-08-18 06:00:10.734000,-0.7
22,2023-08-18 06:45:12.504000,-0.58
22,2023-08-18 06:45:12.505000,-0.58
22,2023-08-18 07:15:16.325000,-0.54
22,2023-08-18 07:15:22.731000,-0.54
22,2023-08-18 07:30:10.005000,-0.53
22,2023-08-18 07:30:10.007000,-0.53
22,2023-08-18 07:45:10.513000,-0.7
22,2023-08-18 07:45:10.835000,-0.7
22,2023-08-18 08:00:10.008000,-0.7
22,2023-08-18 08:00:10.070000,-0.7
22,2023-08-18 08:15:10.006000,-0.7
22,2023-08-18 08:15:10.067000,-0.7
22,2023-08-18 09:15:22.620000,-0.7
22,2023-08-18 09:15:24.189000,-0.7
22,2023-08-18 09:30:10.237000,-0.69
22,2023-08-18 09:30:10.290000,-0.69
22,2023-08-18 09:45:10.036000,-0.7
22,2023-08-18 09:45:10.038000,-0.7
22,2023-08-18 10:00:52.475000,-0.7
22,2023-08-18 10:00:56.400000,-0.7
22,2023-08-18 10:15:10.007000,-0.7
22,2023-08-18 10:15:25.488000,-0.7
22,2023-08-18 10:30:12.401000,-0.7
22,2023-08-18 10:30:13.579000,-0.7
22,2023-08-18 10:45:10.258000,-0.7
22,2023-08-18 10:45:32.333000,-0.7
22,2023-08-18 11:00:10.728000,-0.7
22,2023-08-18 11:00:10.807000,-0.7
22,2023-08-18 11:15:11.271000,-0.7
22,2023-08-18 11:15:11.429000,-0.7
